No.,Date,Media,Headline,Journalist,Type,Angle,Remark
80,2024/10/22,서울창업신문,"스파크랩, 한국패션산업협회와 K패션 스타트업 지원",황현주,보도자료,스파크랩-한국패션산업협회 MOU,
81,2024/10/22,베타뉴스,"스파크랩, 한국패션산업협회와 K패션 스타트업 지원",이승희,보도자료,스파크랩-한국패션산업협회 MOU,
82,2024/10/22,스타트업레시피,"[AI서머리] 스파크랩 K-패션 스타트업 지원‧씨엔티테크, 사우디와 스타트업 진출 협력",이석원,보도자료,스파크랩-한국패션산업협회 MOU,
83,2024/10/22,K스타트업밸리,"스파크랩, 한국패션산업협회와 업무협약 체결",Jo Kim,보도자료,스파크랩-한국패션산업협회 MOU,
84,2024/10/22,스타트업투데이,"스파크랩, 한국패션산업협회와 ‘K-패션 스타트업 발굴∙육성’ 위해 맞손",한이서,보도자료,스파크랩-한국패션산업협회 MOU,
85,2024/10/22,와우테일,"스파크랩, 한국패션협과 K-패션 스타트업 지원… 글로벌 진출-투자 매칭 등",정명화,보도자료,스파크랩-한국패션산업협회 MOU,
86,2024/10/22,매일경제,"글로벌 액셀러레이터 스파크랩, 유망 K패션 발굴 나선다",이영욱,보도자료,스파크랩-한국패션산업협회 MOU,
87,2024/10/22,조선비즈,"스파크랩, 한국패션산업협회와 K패션 스타트업 지원",박용선,보도자료,스파크랩-한국패션산업협회 MOU,
88,2024/10/22,뉴스1,"""K-패션 스타트업 육성""…스파크랩, 한국패션산업협회와 '맞손'",이정후,보도자료,스파크랩-한국패션산업협회 MOU,
89,2024/10/22,데이터넷,"스파크랩, 한국패션산업협회와 K-패션 스타트업 지원",강석오,보도자료,스파크랩-한국패션산업협회 MOU,
90,2024/10/22,벤처스퀘어,"스파크랩, 한국패션산업협회와 업무협약 체결",오효진,보도자료,스파크랩-한국패션산업협회 MOU,
91,2024/10/22,아시아경제,"스파크랩, 한국패션산업협회와 K-패션 스타트업 지원",김철현,보도자료,스파크랩-한국패션산업협회 MOU,
92,2024/10/22,연합뉴스,"[게시판] 패션산업협회, 스파크랩과 패션 브랜드 발굴 '맞손'",차민지,참고,스파크랩-한국패션산업협회 MOU (한국패션산업협회 보도자료),
93,2024/10/22,더구루,"[단독] 스파크랩그룹 스팩, 엣지 AI 반도체 스타트업 '크네론'과 합병",홍성환,단독,"스파크랩그룹 스팩, 크네론과 합병",
94,2024/10/21,매일경제,스파크랩·서울대병원 손잡고 바이오 스타트업 생태계 육성,NA(지면),보도자료,"스파크랩, 서울대학교병원과 MOU",
95,2024/10/19,뉴스탭,"스파크랩 AIM AI 펀드, AI 메드테크 기업 ‘웨이센’에 첫 국내 기업 투자",이준문,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
96,2024/10/19,머니투데이,의료기기부터 B2B 솔루션까지…이번주 'VC의 선택' 받은 9곳,고석용,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
97,2024/10/19,이데일리,[VC’s Pick]AI 빠진 제약·바이오·의료에…투자사 관심 무럭무럭,박소영,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
98,2024/10/19,히트뉴스,"신약도, 제네릭도, 희귀약도 결국 '약가'... 항암제개발 투심 '훈훈'",이우진,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
99,2024/10/19,서울경제,"웨이센, 스파크랩 사우디펀드 '국내 1호' AI 투자기업 선정",박효정,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
100,2024/10/18,와우테일,"의료AI ‘웨이센’, 스파크랩그룹에서 투자유치.. “중동 등 해외 의료시장 개척”",김태현,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
101,2024/10/18,하이테크정보,"사우디 참여한 '스파크랩 AIM AI 펀드', 웨이센에 국내 1호 투자",주한은,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
102,2024/10/18,비석세스,"AI 메드테크 ‘웨이센’, 스파크랩 AIM AI 펀드의 첫 국내 투자 유치",NA,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
103,2024/10/18,스타트업레시피,"[AI서머리] 스파크랩 AIM AI 펀드, 웨이센에 첫 국내 투자",이석원,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
104,2024/10/18,뉴스웍스,[#헬스콕] 웨이센 '투자유치,문병도(단신),보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
105,2024/10/18,테크42,"스파크랩 AIM AI 펀드, AI 메드테크 기업 ‘웨이센’에 첫 국내 기업 투자",황정호,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
106,2024/10/18,스타트업투데이,"스파크랩 AIM AI 펀드, AI 메드테크 스타트업 기업 ‘웨이센’에 첫 국내 기업 투자",김석진,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
107,2024/10/18,K스타트업밸리,"스파크랩 AIM AI 펀드, AI 메드테크 기업 ‘웨이센’에 투자",Jimmy Park,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
108,2024/10/18,머니투데이,"AI 내시경' 웨이센, 스파크랩 사우디펀드 1호 투자기업 선정",남미래,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
109,2024/10/18,디지털투데이,"스파크랩 AIM AI 펀드, AI 메드테크 기업 '웨이센'에 첫 국내 투자",황치규,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
110,2024/10/18,디스커버리뉴스,"스파크랩 AIM AI 펀드, AI 메드테크 기업 ‘웨이센’에 첫 국내 기업 투자",정기환,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
111,2024/10/18,베타뉴스,"스파크랩 AIM AI 펀드, AI 메드테크 기업 웨이센에 투자",이승희,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
112,2024/10/18,뉴스1,"사우디 참여한 '스파크랩 AIM AI 펀드', 웨이센에 국내 1호 투자",이정후,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
113,2024/10/18,인공지능신문,"스파크랩 AIM AI 펀드, AI 메드테크 기업 ‘웨이센’에 첫 국내 기업 투자",전미준,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
114,2024/10/18,데이터넷,"스파크랩그룹, AIM AI 펀드로 국내 AI 스타트업 중동 진출 지원",강석오,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
115,2024/10/18,매일경제,"스파크랩 AIM AI 펀드, ‘웨이센’에 첫 국내 기업 투자",원호섭,보도자료,"스파크랩 AIM AI 펀드, 웨이센에 첫 국내 기업 투자",
